,code,desc,quantity_a,quantity_desc_a,value_a,quantity_b,quantity_desc_b,value_b,value_diff,quantity_diff,quantity_pct,value_pct,value_diff_abs,value_pct_abs
5402,5402,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex",12713190,Weight in kilograms,44.51,12648684,Weight in kilograms,40.57,3.9399999999999977,64506,0.5073942889235511,8.851943383509319,3.9399999999999977,8.851943383509319
5403,5403,"Artificial filament yarn (other than sewing thread), not put up for retail sale, including artificial monofilament of less than 67 decitex",6,Weight in kilograms,0.0,10951,Weight in kilograms,0.0,0.0,-10945,-182416.6666666667,,0.0,
5404,5404,"Synthetic monofilament of 67 decitex or more, of which no cross-sectional dimension exceeds 1mm; strip and the like (e.g. artificial straw) of synthetic textile materials of an apparent width not exceeding 5mm",297619,Weight in kilograms,4.69,138855,Weight in kilograms,2.91,1.7800000000000002,158764,53.344712535154,37.953091684434966,1.7800000000000002,37.953091684434966
5406,5406,"Man-made filament yarn (other than sewing thread), put up for retail sale",214,Weight in kilograms,0.0,3963,Weight in kilograms,0.0,0.0,-3749,-1751.8691588785045,,0.0,
5407,5407,"Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading no. 5404",1523724,Weight in kilograms,16.25,1317340,Weight in kilograms,15.7,0.5500000000000007,206384,13.5447101968598,3.3846153846153886,0.5500000000000007,3.3846153846153886
5408,5408,Woven fabrics of artificial filament yarn including woven fabrics obtained from materials of heading no. 5404,16749,Weight in kilograms,0.46,23069,Weight in kilograms,0.98,-0.52,-6320,-37.73359603558421,-113.04347826086956,0.52,113.04347826086956
5501,5501,Synthetic filament tow,291250,Weight in kilograms,0.4,170352,Weight in kilograms,0.26,0.14,120898,41.510042918454936,35.0,0.14,35.0
5503,5503,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning",14104826,Weight in kilograms,19.53,16154309,Weight in kilograms,22.13,-2.599999999999998,-2049483,-14.530367123990045,-13.31285202252943,2.599999999999998,13.31285202252943
5506,5506,"Synthetic staple fibres, carded, combed or otherwise processed for spinning",145940,Weight in kilograms,0.41,36496,Weight in kilograms,0.18,0.22999999999999998,109444,74.99246265588599,56.09756097560975,0.22999999999999998,56.09756097560975
5508,5508,"Sewing thread of man-made staple fibres, whether or not put up for retail sale",231,Weight in kilograms,0.0,30,Weight in kilograms,0.0,0.0,201,87.01298701298701,,0.0,
5509,5509,"Yarn (other than sewing thread) of synthetic staple fibres, not put up for retail sale",1481,Weight in kilograms,0.03,659,Weight in kilograms,0.01,0.019999999999999997,822,55.50303848750844,66.66666666666666,0.019999999999999997,66.66666666666666
5510,5510,"Yarn (other than sewing thread) of artificial staple fibres, not put up for retail sale",100,Weight in kilograms,0.0,3609,Weight in kilograms,0.02,-0.02,-3509,-3509.0000000000005,-inf,0.02,inf
5512,5512,"Woven fabrics of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres",99847,Weight in kilograms,1.3,5248,Weight in kilograms,0.2,1.1,94599,94.74395825613188,84.61538461538461,1.1,84.61538461538461
5513,5513,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2",1571,Weight in kilograms,0.01,266,Weight in kilograms,0.0,0.01,1305,83.06810948440484,100.0,0.01,100.0
5514,5514,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight exceeding 170g/m2",2212,Weight in kilograms,0.02,0,Weight in kilograms,0.0,0.02,2212,100.0,100.0,0.02,100.0
5515,5515,"Woven fabrics of synthetic staple fibres, n.e.c. in chapter 55",3018,Weight in kilograms,0.03,9100,Weight in kilograms,0.07,-0.04000000000000001,-6082,-201.5241882041087,-133.33333333333337,0.04000000000000001,133.33333333333337
5516,5516,Woven fabrics of artificial staple fibres,49588,Weight in kilograms,0.69,40641,Weight in kilograms,0.73,-0.040000000000000036,8947,18.042671614100186,-5.797101449275368,0.040000000000000036,5.797101449275368
