,code,desc,quantity_a,quantity_desc_a,value_a,quantity_b,quantity_desc_b,value_b,value_diff,quantity_diff,quantity_pct,value_pct,value_diff_abs,value_pct_abs
3905,3905,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms",7336296,Weight in kilograms,20.99,7464135,Weight in kilograms,18.78,2.2099999999999973,-127839,-1.7425550986492364,10.528823249166258,2.2099999999999973,10.528823249166258
3906,3906,Acrylic polymers in primary forms,36399173,Weight in kilograms,74.15,38820160,Weight in kilograms,69.27,4.88000000000001,-2420987,-6.651214300940299,6.581254214430221,4.88000000000001,6.581254214430221
3907,3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",8870341,Weight in kilograms,38.49,6590237,Weight in kilograms,30.33,8.160000000000004,2280104,25.704806613409787,21.20031176929073,8.160000000000004,21.20031176929073
3908,3908,Polyamides in primary forms,2403427,Weight in kilograms,13.96,2261597,Weight in kilograms,11.38,2.58,141830,5.901156972939058,18.48137535816619,2.58,18.48137535816619
3909,3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms",19632438,Weight in kilograms,31.03,25916989,Weight in kilograms,36.06,-5.030000000000001,-6284551,-32.0110574142651,-16.2101192394457,5.030000000000001,16.2101192394457
3910,3910,Silicones in primary forms,1411198,Weight in kilograms,11.57,1555640,Weight in kilograms,10.98,0.5899999999999999,-144442,-10.235417000307539,5.099394987035435,0.5899999999999999,5.099394987035435
3911,3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39, in primary forms",3909928,Weight in kilograms,14.73,4903605,Weight in kilograms,19.44,-4.710000000000001,-993677,-25.414202000650647,-31.975560081466398,4.710000000000001,31.975560081466398
3912,3912,"Cellulose and its chemical derivatives, n.e.c. or included, in primary forms",2119475,Weight in kilograms,35.34,1948466,Weight in kilograms,33.82,1.5200000000000031,171009,8.068460349850788,4.301075268817213,1.5200000000000031,4.301075268817213
3913,3913,"Natural polymers (e.g. alginic acid) and modified natural polymers (e.g. hardened proteins, chemical derivatives of natural rubber), n.e.c. or included, in primary forms",17392,Weight in kilograms,1.07,19066,Weight in kilograms,0.93,0.14,-1674,-9.625114995400184,13.08411214953271,0.14,13.08411214953271
3914,3914,"Ion-exchangers; based on polymers of heading no. 3901 to 3913, in primary forms",23212,Weight in kilograms,0.63,21431,Weight in kilograms,0.38,0.25,1781,7.672755471307944,39.682539682539684,0.25,39.682539682539684
3915,3915,"Waste, parings and scrap, of plastics",300,Weight in kilograms,0.0,27821213,Weight in kilograms,11.51,-11.51,-27820913,-9273637.666666666,-inf,11.51,inf
3916,3916,"Monofilament of which any cross-sectional dimension exceeds 1mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, of plastics",6369,Weight in kilograms,0.11,12054,Weight in kilograms,0.32,-0.21000000000000002,-5685,-89.2604804521903,-190.9090909090909,0.21000000000000002,190.9090909090909
3917,3917,"Tubes, pipes and hoses and fittings thereof (for example, joints, elbows, flanges), of plastics",2036344,Weight in kilograms,10.62,325874,Weight in kilograms,12.35,-1.7300000000000004,1710470,83.99710461493736,-16.29001883239172,1.7300000000000004,16.29001883239172
3918,3918,"Floor coverings of plastics, self-adhesive or not, in rolls or tiles; wall or ceiling coverings of plastics, in rolls of a width not less than 45cm",74581,Weight in kilograms,0.32,66767,Weight in kilograms,0.45,-0.13,7814,10.477199286681595,-40.625,0.13,40.625
3919,3919,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls",2056068,Weight in kilograms,25.97,1207093,Weight in kilograms,17.43,8.54,848975,41.29119270374326,32.884097035040426,8.54,32.884097035040426
3920,3920,"Plastics; plates, sheets, film, foil and strip (not self-adhesive); non-cellular and not reinforced, laminated, supported or similarly combined with other materials, n.e.c. in chapter 39",5315589,Weight in kilograms,22.76,4830960,Weight in kilograms,19.96,2.8000000000000007,484629,9.117127001353943,12.302284710017577,2.8000000000000007,12.302284710017577
3921,3921,"Plastic plates, sheets, film, foil and strip n.e.c. in chapter 39",1108167,Weight in kilograms,8.86,535356,Weight in kilograms,9.53,-0.6699999999999999,572811,51.689952868114645,-7.562076749435666,0.6699999999999999,7.562076749435666
3922,3922,"Sanitary ware; baths, shower-baths, sinks, wash-basins, bidets, lavatory pans, seats and covers, flushing cisterns and sanitary ware, of plastics",55366,Weight in kilograms,0.45,1491,Weight in kilograms,0.07,0.38,53875,97.30701152331756,84.44444444444444,0.38,84.44444444444444
3923,3923,"Plastic articles for the conveyance or packing of goods; stoppers, lids, caps and other closures of plastics",1702823,Weight in kilograms,13.76,288170,Weight in kilograms,5.22,8.54,1414653,83.0769257873543,62.06395348837209,8.54,62.06395348837209
3924,3924,"Tableware, kitchenware, other household articles and hygienic or toilet articles, of plastics",46246,Weight in kilograms,0.31,21906,Weight in kilograms,0.16,0.15,24340,52.63157894736842,48.387096774193544,0.15,48.387096774193544
3925,3925,Plastics; builders' wares n.e.c. or included,13304,Weight in kilograms,0.16,100320,Weight in kilograms,3.91,-3.75,-87016,-654.0589296452195,-2343.75,3.75,2343.75
